Date,Open,High,Low,Close,Adj Close,Volume
2012-08-08,126.160004,126.389999,125.040001,125.160004,102.575005,7250700
2012-08-09,124.769997,125.300003,123.750000,125.070000,102.501266,7553500
2012-08-10,126.199997,126.320000,125.599998,125.699997,103.017525,4670500
2012-08-13,126.110001,126.379997,125.489998,125.489998,102.845459,3543700
2012-08-14,123.959999,124.410004,123.750000,123.790001,101.452225,7994000
2012-08-15,123.019997,123.199997,121.900002,122.050003,100.026154,11191000
2012-08-16,122.209999,122.500000,120.519997,121.010002,99.173882,13240000
2012-08-17,121.400002,122.120003,121.320000,121.599998,99.657402,6341100
2012-08-20,121.550003,122.190002,121.500000,121.849998,99.862289,4427100
2012-08-21,121.470001,122.449997,120.660004,122.389999,100.304863,9532700
2012-08-22,123.519997,124.510002,123.209999,124.410004,101.960350,11384400
2012-08-23,124.739998,125.139999,124.650002,124.930000,102.386482,7139100
2012-08-24,125.470001,125.559998,124.669998,124.809998,102.288147,5001400
2012-08-27,125.339996,125.800003,125.269997,125.540001,102.886421,3906100
2012-08-28,125.750000,126.360001,125.589996,125.839996,103.132332,3412600
2012-08-29,125.610001,125.629997,124.949997,125.290001,102.681557,3762700
2012-08-30,126.269997,126.440002,125.730003,125.940002,103.214256,3886400
2012-08-31,125.779999,127.720001,125.730003,127.720001,104.673035,9192600
2012-09-04,126.919998,127.629997,126.760002,127.320000,104.567886,6009300
2012-09-05,126.820000,127.190002,126.550003,126.720001,104.075165,3466700
2012-09-06,125.529999,125.529999,124.550003,124.610001,102.342178,6505100
2012-09-07,126.139999,126.180000,123.919998,124.029999,101.865822,7335300
2012-09-10,123.690002,124.330002,123.510002,124.330002,102.112221,4912100
2012-09-11,124.019997,124.099998,123.290001,123.550003,101.471603,3523300
2012-09-12,122.220001,122.410004,121.680000,122.010002,100.206833,7040900
2012-09-13,122.389999,123.089996,120.269997,121.529999,99.812599,12280200
2012-09-14,119.760002,119.849998,118.050003,118.300003,97.159813,16871600
2012-09-17,118.870003,119.900002,118.800003,119.720001,98.326103,5573300
2012-09-18,120.709999,120.900002,119.959999,120.320000,98.818832,5366200
2012-09-19,121.339996,121.379997,120.610001,121.110001,99.467651,5903300
2012-09-20,122.139999,122.320000,120.980003,121.410004,99.714050,4604200
2012-09-21,120.750000,121.639999,120.669998,121.550003,99.829018,4144300
2012-09-24,122.250000,122.699997,122.180000,122.500000,100.609276,3627400
2012-09-25,122.800003,123.739998,122.129997,123.709999,101.603043,5893500
2012-09-26,124.559998,125.089996,124.449997,125.040001,102.695374,7193400
2012-09-27,124.550003,124.800003,123.769997,124.150002,101.964394,5147700
2012-09-28,124.750000,125.239998,123.809998,124.220001,102.021904,7173400
2012-10-01,123.970001,124.470001,123.379997,124.419998,102.400482,4842600
2012-10-02,123.910004,124.519997,123.809998,124.250000,102.260567,3540100
2012-10-03,123.860001,124.300003,123.620003,124.290001,102.293503,3800900
2012-10-04,123.459999,123.800003,122.570000,122.739998,101.017784,6214800
2012-10-05,121.570000,121.680000,120.919998,121.150002,99.709229,8340700
2012-10-08,121.980003,122.269997,121.690002,122.169998,100.548668,1568400
2012-10-09,121.470001,122.180000,121.379997,121.949997,100.367615,4752700
2012-10-10,121.459999,122.959999,121.260002,122.809998,101.075409,5429800
2012-10-11,121.959999,123.660004,121.889999,123.660004,101.774994,5194100
2012-10-12,124.070000,124.779999,123.779999,123.970001,102.030144,4934900
2012-10-15,123.779999,124.139999,123.430000,123.690002,101.799683,3036100
